city,country,continent,latitude,longitude,reel_count,is_island,platform_url
New York,United States,North America,40.7602,-73.9761,47,false,https://bestroadtrip.com/map/united-states/new-york
Dubai,United Arab Emirates,Asia,25.1972,55.2744,33,false,https://bestroadtrip.com/map/united-arab-emirates/dubai
Paris,France,Europe,48.8584,2.2945,28,false,https://bestroadtrip.com/map/france/paris
Greater London,United Kingdom,Europe,51.5454,-0.1762,25,true,https://bestroadtrip.com/map/united-kingdom/greater-london
London,United Kingdom,Europe,51.4769,-0.0005,23,true,https://bestroadtrip.com/map/united-kingdom/london
Kathmandu,Nepal,Asia,27.6992,85.3383,19,false,https://bestroadtrip.com/map/nepal/kathmandu
Bangkok,Thailand,Asia,13.7261,100.5108,19,false,https://bestroadtrip.com/map/thailand/bangkok
Minato City,Japan,Asia,35.6586,139.7454,16,true,https://bestroadtrip.com/map/japan/minato-city
Cusco,Peru,South America,-13.5146,-71.9781,16,false,https://bestroadtrip.com/map/peru/cusco
Leticia,Colombia,South America,-4.2150,-69.9406,14,false,https://bestroadtrip.com/map/colombia/leticia
Kuala Lumpur,Malaysia,Asia,3.1579,101.7114,14,false,https://bestroadtrip.com/map/malaysia/kuala-lumpur
Muang Pattaya,Thailand,Asia,12.9487,100.8942,14,false,https://bestroadtrip.com/map/thailand/muang-pattaya
Ubud,Indonesia,Asia,-8.3865,115.2686,13,true,https://bestroadtrip.com/map/indonesia/ubud
Sapporo,Japan,Asia,43.0889,141.2717,13,true,https://bestroadtrip.com/map/japan/sapporo
Centro,Brasil,Unknown,-22.9107,-43.1807,12,false,https://bestroadtrip.com/map/brazil/centro
Quito,Ecuador,South America,-0.1821,-78.4847,12,false,https://bestroadtrip.com/map/ecuador/quito
Kyoto,Japan,Asia,34.9677,135.7792,12,true,https://bestroadtrip.com/map/japan/kyoto
Santorini,Greece,Europe,36.4614,25.3752,11,false,https://bestroadtrip.com/map/greece/santorini
Kabupaten Badung,Indonesia,Asia,-8.6655,115.1381,11,true,https://bestroadtrip.com/map/indonesia/kabupaten-badung
Shibuya,Japan,Asia,35.6603,139.7008,11,true,https://bestroadtrip.com/map/japan/shibuya
Malé,Maldives,Unknown,4.2468,73.4693,11,true,https://bestroadtrip.com/map/maldives/male
Lagos,Nigeria,Africa,6.4456,3.4069,11,false,https://bestroadtrip.com/map/nigeria/lagos
Toronto,Canada,North America,43.6511,-79.3774,10,false,https://bestroadtrip.com/map/canada/toronto
Medellín,Colombia,South America,6.2557,-75.6186,10,false,https://bestroadtrip.com/map/colombia/medellin
Berlin,Germany,Europe,52.5138,13.3926,10,false,https://bestroadtrip.com/map/germany/berlin
Chuo City,Japan,Asia,35.6865,139.7861,10,true,https://bestroadtrip.com/map/japan/chuo-city
Taito City,Japan,Asia,35.7160,139.7729,10,true,https://bestroadtrip.com/map/japan/taito-city
Singapore,Singapore,Asia,1.3521,103.8198,10,true,https://bestroadtrip.com/map/singapore/singapore
Barcelona,Spain,Europe,41.3818,2.1719,10,false,https://bestroadtrip.com/map/spain/barcelona
Buenos Aires,Argentina,South America,-34.6012,-58.3833,9,false,https://bestroadtrip.com/map/argentina/buenos-aires
Roma,Italia,Unknown,41.8967,12.4822,9,false,https://bestroadtrip.com/map/italy/roma
Abuja,Nigeria,Africa,9.0723,7.4913,9,false,https://bestroadtrip.com/map/nigeria/abuja
Madrid,Spain,Europe,40.4154,-3.7094,9,false,https://bestroadtrip.com/map/spain/madrid
